age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
64,male,0.096929118,0.003590367,0.006343533,0.093526889,0,,,64,male,0.058722837,0.000302209,0.006147836,0.081327019,0,,,1.650620486,11.88042078,1.031831807,1.150010049
65,female,0.109681273,0.004528035,0.004926837,0.086800605,0,,,65,female,0.070532801,0.000492553,0.009532368,0.12022055,0,,,1.55503924,9.192984484,0.516853409,0.722011379
65,male,0.110296142,0.003961175,0.006730539,0.099102817,0,,,65,male,0.058209176,0.000658583,0.010357204,0.12058255,0,,,1.894823972,6.014690681,0.649841292,0.821866987
66,female,0.109681273,0.004842189,0.005097521,0.09098672,0,,,66,female,0.070532801,0.000492553,0.009532368,0.12022055,0,,,1.55503924,9.830791579,0.534759138,0.756831674
66,male,0.110296142,0.004332064,0.007133261,0.104944785,0,,,66,male,0.058209176,0.000658583,0.010357204,0.12058255,0,,,1.894823972,6.577852523,0.688724564,0.870314859
67,female,0.109681273,0.005233967,0.005265094,0.095258892,0,,,67,female,0.070532801,0.000492553,0.009532368,0.12022055,0,,,1.55503924,10.6261938,0.552338505,0.792367795
67,male,0.110296142,0.004787842,0.00753445,0.111044507,0,,,67,male,0.058209176,0.000658583,0.010357204,0.12058255,0,,,1.894823972,7.269910736,0.727459824,0.920900304
68,female,0.109681273,0.005715265,0.005426446,0.099601115,0,,,68,female,0.070532801,0.000492553,0.009532368,0.12022055,0,,,1.55503924,11.60334283,0.569265254,0.828486603
68,male,0.110296142,0.005328427,0.007918386,0.117373937,0,,,68,male,0.058209176,0.000658583,0.010357204,0.12058255,0,,,1.894823972,8.090740808,0.764529287,0.973390735
69,female,0.109681273,0.006286081,0.005581576,0.103994755,0,,,69,female,0.070532801,0.000492553,0.009532368,0.12022055,0,,,1.55503924,12.76223463,0.585539279,0.8650331
69,male,0.110296142,0.005953819,0.008285072,0.123897018,0,,,69,male,0.058209176,0.000658583,0.010357204,0.12058255,0,,,1.894823972,9.04034274,0.799933243,1.027487128
70,female,0.109681273,0.006946417,0.005730487,0.108420493,0,,,70,female,0.069702234,0.000969739,0.011836372,0.17168086,0,,,1.573568982,7.163181084,0.484142173,0.631523474
70,male,0.110296142,0.006664018,0.008634506,0.130576922,0,,,70,male,0.057523717,0.001349627,0.01435158,0.178434414,0,,,1.917402906,4.937675544,0.601641481,0.731792254
71,female,0.109681273,0.007696271,0.005873176,0.11285838,0,,,71,female,0.069702234,0.000969739,0.011836372,0.17168086,0,,,1.573568982,7.936434402,0.496197302,0.657373106
71,male,0.110296142,0.007459024,0.008966689,0.137376176,0,,,71,male,0.057523717,0.001349627,0.01435158,0.178434414,0,,,1.917402906,5.526731829,0.624787573,0.769897313
72,female,0.109681273,0.008535645,0.006009645,0.117287905,0,,,72,female,0.069702234,0.000969739,0.011836372,0.17168086,0,,,1.573568982,8.802001205,0.507726933,0.683174031
72,male,0.110296142,0.008338837,0.009281621,0.14425682,0,,,72,male,0.057523717,0.001349627,0.01435158,0.178434414,0,,,1.917402906,6.178625496,0.646731637,0.808458507
73,female,0.109681273,0.009460278,0.006128752,0.121683448,0,,,73,female,0.069702234,0.000969739,0.011836372,0.17168086,0,,,1.573568982,9.75548753,0.517789729,0.708777019
73,male,0.110296142,0.009353238,0.009562094,0.15117014,0,,,73,male,0.057523717,0.001349627,0.01435158,0.178434414,0,,,1.917402906,6.930241565,0.666274642,0.847202827
74,female,0.109681273,0.010380652,0.006236716,0.126022128,0,,,74,female,0.069702234,0.000969739,0.011836372,0.17168086,0,,,1.573568982,10.70458195,0.526911105,0.734048793
74,male,0.110296142,0.010417419,0.00982536,0.158069702,0,,,74,male,0.057523717,0.001349627,0.01435158,0.178434414,0,,,1.917402906,7.718741911,0.684618685,0.885870042
75,female,0.111680374,0.011296766,0.00633354,0.130288962,0,,,75,female,0.068427504,0.001636458,0.013857085,0.23054717,0,,,1.632097737,6.903179101,0.457061491,0.565129305
75,male,0.109314458,0.01153138,0.010071419,0.164922148,0,,,75,male,0.05672817,0.002450894,0.017292594,0.25106741,0,,,1.92698719,4.704969539,0.582412281,0.656883935
76,female,0.111680374,0.01220862,0.006419221,0.134469607,0,,,76,female,0.068427504,0.001636458,0.013857085,0.23054717,0,,,1.632097737,7.460390915,0.463244681,0.583262883
